,model,metric,avg
86,lmsys/vicuna-13b-v1.5,ppl_argmin_acc,56.627272727272725
87,lmsys/vicuna-13b-v1.5,next_token_argmax_choices_acc,68.81818181818183
88,lmsys/vicuna-13b-v1.5,next_token_argmax_all_acc,68.68181818181819
89,lmsys/vicuna-13b-v1.5,next_token_argmax_choices_circular_acc,50.054545454545455
90,lmsys/vicuna-13b-v1.5,next_token_argmax_all_circular_acc,50.06363636363637
91,lmsys/vicuna-33b-v1.3,acc,56.44545454545455
92,lmsys/vicuna-33b-v1.3,acc_norm,57.881818181818176
93,lmsys/vicuna-33b-v1.3,ppl_argmin_acc,57.35454545454545
94,lmsys/vicuna-33b-v1.3,next_token_argmax_choices_acc,69.5909090909091
95,lmsys/vicuna-33b-v1.3,next_token_argmax_all_acc,64.30909090909091
96,lmsys/vicuna-33b-v1.3,next_token_argmax_choices_circular_acc,50.23636363636364
97,lmsys/vicuna-33b-v1.3,next_token_argmax_all_circular_acc,45.02727272727273
98,meta-llama/Llama-2-7b-chat-hf,acc,54.10909090909092
99,meta-llama/Llama-2-7b-chat-hf,acc_norm,55.78181818181818
100,meta-llama/Llama-2-7b-chat-hf,ppl_argmin_acc,54.54545454545455
101,meta-llama/Llama-2-7b-chat-hf,next_token_argmax_choices_acc,57.70909090909092
102,meta-llama/Llama-2-7b-chat-hf,next_token_argmax_all_acc,55.809090909090905
103,meta-llama/Llama-2-7b-chat-hf,next_token_argmax_choices_circular_acc,28.781818181818185
104,meta-llama/Llama-2-7b-chat-hf,next_token_argmax_all_circular_acc,28.34545454545454
105,meta-llama/Llama-2-13b-chat-hf,acc,55.99090909090909
106,meta-llama/Llama-2-13b-chat-hf,acc_norm,58.59090909090909
107,meta-llama/Llama-2-13b-chat-hf,ppl_argmin_acc,57.045454545454554
108,meta-llama/Llama-2-13b-chat-hf,next_token_argmax_choices_acc,65.41818181818181
109,meta-llama/Llama-2-13b-chat-hf,next_token_argmax_all_acc,65.31818181818181
110,meta-llama/Llama-2-13b-chat-hf,next_token_argmax_choices_circular_acc,40.87272727272727
111,meta-llama/Llama-2-13b-chat-hf,next_token_argmax_all_circular_acc,40.77272727272728
112,meta-llama/Llama-2-70b-chat-hf,acc,58.9
113,meta-llama/Llama-2-70b-chat-hf,acc_norm,60.72727272727273
114,meta-llama/Llama-2-70b-chat-hf,ppl_argmin_acc,59.51818181818182
115,meta-llama/Llama-2-70b-chat-hf,next_token_argmax_choices_acc,74.33636363636364
116,meta-llama/Llama-2-70b-chat-hf,next_token_argmax_all_acc,74.2090909090909
117,meta-llama/Llama-2-70b-chat-hf,next_token_argmax_choices_circular_acc,56.76363636363637
118,meta-llama/Llama-2-70b-chat-hf,next_token_argmax_all_circular_acc,56.62727272727273
119,meta-llama/Llama-2-7b-hf,acc,53.26363636363636
120,meta-llama/Llama-2-7b-hf,acc_norm,55.09090909090909
121,meta-llama/Llama-2-7b-hf,ppl_argmin_acc,54.35454545454545
122,meta-llama/Llama-2-7b-hf,next_token_argmax_choices_acc,47.50909090909091
123,meta-llama/Llama-2-7b-hf,next_token_argmax_all_acc,42.70909090909091
124,meta-llama/Llama-2-7b-hf,next_token_argmax_choices_circular_acc,17.418181818181818
125,meta-llama/Llama-2-7b-hf,next_token_argmax_all_circular_acc,14.1
126,meta-llama/Llama-2-13b-hf,acc,55.45454545454545
127,meta-llama/Llama-2-13b-hf,acc_norm,57.027272727272724
128,meta-llama/Llama-2-13b-hf,ppl_argmin_acc,56.40909090909091
129,meta-llama/Llama-2-13b-hf,next_token_argmax_choices_acc,60.83636363636364
130,meta-llama/Llama-2-13b-hf,next_token_argmax_all_acc,58.563636363636355
131,meta-llama/Llama-2-13b-hf,next_token_argmax_choices_circular_acc,31.136363636363637
132,meta-llama/Llama-2-13b-hf,next_token_argmax_all_circular_acc,29.736363636363638
133,meta-llama/Llama-2-70b-hf,acc,59.0
134,meta-llama/Llama-2-70b-hf,acc_norm,60.381818181818176
135,meta-llama/Llama-2-70b-hf,ppl_argmin_acc,59.800000000000004
136,meta-llama/Llama-2-70b-hf,next_token_argmax_choices_acc,75.20909090909089
137,meta-llama/Llama-2-70b-hf,next_token_argmax_all_acc,74.81818181818181
138,meta-llama/Llama-2-70b-hf,next_token_argmax_choices_circular_acc,58.427272727272744
139,meta-llama/Llama-2-70b-hf,next_token_argmax_all_circular_acc,57.92727272727273
140,mosaicml/mpt-7b,acc,52.26363636363636
141,mosaicml/mpt-7b,acc_norm,54.33636363636364
142,mosaicml/mpt-7b,ppl_argmin_acc,54.24545454545455
143,mosaicml/mpt-7b,next_token_argmax_choices_acc,35.95454545454545
144,mosaicml/mpt-7b,next_token_argmax_all_acc,35.190909090909095
145,mosaicml/mpt-7b,next_token_argmax_choices_circular_acc,2.1636363636363636
146,mosaicml/mpt-7b,next_token_argmax_all_circular_acc,1.9818181818181813
147,mosaicml/mpt-30b,acc,54.75454545454545
148,mosaicml/mpt-30b,acc_norm,57.06363636363637
149,mosaicml/mpt-30b,ppl_argmin_acc,56.78181818181818
150,mosaicml/mpt-30b,next_token_argmax_choices_acc,53.0090909090909
151,mosaicml/mpt-30b,next_token_argmax_all_acc,49.154545454545456
152,mosaicml/mpt-30b,next_token_argmax_choices_circular_acc,26.390909090909087
153,mosaicml/mpt-30b,next_token_argmax_all_circular_acc,23.027272727272727
154,mosaicml/mpt-30b-chat,acc,56.73636363636364
155,mosaicml/mpt-30b-chat,acc_norm,58.91818181818182
156,mosaicml/mpt-30b-chat,ppl_argmin_acc,58.300000000000004
157,mosaicml/mpt-30b-chat,next_token_argmax_choices_acc,61.51818181818182
158,mosaicml/mpt-30b-chat,next_token_argmax_all_acc,60.83636363636364
159,mosaicml/mpt-30b-chat,next_token_argmax_choices_circular_acc,37.91818181818182
160,mosaicml/mpt-30b-chat,next_token_argmax_all_circular_acc,36.96363636363637
161,tiiuae/falcon-7b,acc,52.28181818181818
162,tiiuae/falcon-7b,acc_norm,54.19090909090908
163,tiiuae/falcon-7b,ppl_argmin_acc,54.71818181818182
164,tiiuae/falcon-7b,next_token_argmax_choices_acc,31.7
165,tiiuae/falcon-7b,next_token_argmax_all_acc,30.154545454545453
166,tiiuae/falcon-7b,next_token_argmax_choices_circular_acc,3.590909090909091
167,tiiuae/falcon-7b,next_token_argmax_all_circular_acc,2.881818181818182
168,tiiuae/falcon-40b,acc,57.81818181818182
169,tiiuae/falcon-40b,acc_norm,59.445454545454545
170,tiiuae/falcon-40b,ppl_argmin_acc,59.81818181818183
171,tiiuae/falcon-40b,next_token_argmax_choices_acc,62.3
172,tiiuae/falcon-40b,next_token_argmax_all_acc,62.01818181818182
173,tiiuae/falcon-40b,next_token_argmax_choices_circular_acc,36.62727272727273
174,tiiuae/falcon-40b,next_token_argmax_all_circular_acc,36.418181818181814
